english,swedish,source,notes
error of estimation,estimationsfel,ISI,
error of observation,observationsfel,ISI,
error sum of squares ; residual sum of squares,residualkvadratsumma,ISI,
error variance ; residual variance,residualvarians,ISI,
errors in surveys,fel i undersökningar,ISI,
errors-in-variables model,modell med fel i variabler,ISI,
essential completeness,essentiell fullständighet,ISI,
estimable,skattningsbar; estimerbar,ISI,
estimate,skattning; estimat,ISI,
estimating equation,skattningsekvation,ISI,
estimation ; estimating,skattning; estimation,ISI,
estimator,stickprovsfunktion; estimator; skattning,ISI,
Euclidean distance,euklidiskt avstånd,ISI,
event,händelse,ISI,
event history data,händelsehistoria,ISI,
event space ; sample space ; sample description space,utfallsrum,ISI,
event study,eventstudie,Lodefalk,
evolutionary operation,evolutionär operation,ISI,
evolutionary process,evolutionär process,ISI,
evolutionary spectrum,evolutionärt spektrum,ISI,
exact statistical method,exakt statistisk metod,ISI,
exact test,exakt test,ISI,
exceedance life test,livslängdsöverskottstest,ISI,
exceedances,överskridande,ISI,
exceedances tests,överskottstest,ISI,
exchangeability,utbytbarhet,ISI,
exchangeable (variables) ; symmetrically dependent,utbytbara variabler,ISI,
exclusion restriction,exkluderingskriterium,Lodefalk,IV assumption
exhaustive sampling,uttömmande urval; totalundersökning,ISI,
exogenous variate ; exogenous variable,exogen variabel,ISI,
expectation ; expected value,väntevärde,ISI,
expected frequencies ; theoretical frequencies,förväntad frekvens,ISI,
expected probit,förväntad probit,ISI,
experimental error,försöksfel,ISI,
experimental unit,försöksenhet,ISI,
expert system,expertsystem,ISI,
exploratory data analysis ; EDA,explorativ dataanalys; EDA,ISI,
exploratory survey,explorativ undersökning,ISI,
explosive process,exploderande process,ISI,
exponential curve,exponentialkurva,ISI,
exponential dispersion model,exponentiell spridningsmodell,ISI,
exponential distribution ; negative exponential distribution,exponentialfördelning,ISI,
exponential family ; Koopman-Darmois family,exponentialfamilj,ISI,
exponential regression,exponentiell regression,ISI,
exponential smoothing,exponentiell utjämning,ISI,
extended Bayes' decision rule,utvidgad bayesiansk beslutsregel,ISI,
extended hypergeometric distribution,utvidgad hypergeometrisk fördelning,ISI,
extended negative binomial distribution,utvidgad negativ binomialfördelning,ISI,
external validity,extern validitet,ISI,
extrapolation,extrapolering,ISI,
extrapolation forecasting,prognos genom extrapolering,ISI,
extremal index,extremalindex,ISI,
extremal intensity,extremalintensitet,ISI,
extremal process,extremalprocess,ISI,
extremal quotient,extremalkvot,ISI,
extremal statistic,extremalstatisika,ISI,
extreme mean,extremt medelvärde,ISI,
extreme studentised deviate ; extreme studentized deviate,extrem studentiserad variabel,ISI,
extreme values,extremvärde,ISI,
extreme-value distributions ; Gumbel distribution,extremvärdesfördelning,ISI,
F-distribution ; Snedecor's F-distribution ; variance ratio distribution,F-fördelning,ISI,
F-test ; variance ratio test,F-test,ISI,
factor,faktor,ISI,
factor analysis,faktoranalys,ISI,
factor loading ; test coefficient,faktorladdning,ISI,
factor matrix,faktormatris,ISI,
factor pattern,faktormönster,ISI,
factor rotation,faktorrotation,ISI,
factor score,faktorpoäng,ISI,
factorial cumulant,faktoriell kumulant,ISI,
factorial cumulant generating function,faktoriell kumulantgenererande funktion,ISI,
factorial distribution,faktoriell fördelning,ISI,
factorial experiment ; factorial design,faktorförsök,ISI,
factorial moment,faktoriellt moment,ISI,
factorial moment generating function,faktoriell momentgenererande funktion,ISI,
factorial multinomial distribution ; multivariate hypergeometric distribution,faktoriell multinomialfördelning,ISI,
factorial sum,faktorialsumma,ISI,
failure rate ; hazard rate ; hazard function,felintensitet,ISI,
fair game ; equitable game,rättvist spel,ISI,
false negative,falskt negativ,ISI,
false positive,falskt positiv,ISI,
fast Fourier transform ; FFT,snabb fouriertransform,ISI,
fatigue models,utmattningsmodell,ISI,
fertility gradient,fertilitetsgradient,ISI,
fertility rate,fertilitetstal,ISI,
fiducial distribution,fiduciell fördelning,ISI,
fiducial inference,fiduciell inferens,ISI,
fiducial limits,fiduciella gränser,ISI,
fiducial probability,fiduciell sannolikhet,ISI,
filter,filter,ISI,
finite arc sine distribution,ändlig arcsinusfördelning,ISI,
finite Markov chain,ändlig markovkedja,ISI,
finite multiplier ; finite population correction ; finite sampling correction,ändlighetskorrektion,ISI,
finite population,ändlig population,ISI,
first passage time ; entrance time,första passagetid,ISI,
first return time,första återkomsttid,ISI,
first stage unit,förstastegsenhet; primär urvalsenhet,ISI,
fixed base index,fastbasindex,ISI,
fixed effects (constants) model,modell med fixa effekter,ISI,
fixed effects model,modell med fixa effekter,Lodefalk,
fixed sample,stående urval,ISI,
folded distributions,absolutvärdesfördelning,ISI,
follow-up,uppföljning,ISI,
forecasting ; prediction,prognos,ISI,
forward equations,framåtekvationer,ISI,
four-fold table ; two-by-two frequency table,fyrfältstabell,ISI,
Fourier analysis,fourieranalys,ISI,
Fourier transform,fouriertransform,ISI,
fractal,fraktal,ISI,
fractile ; quantile,fraktil; kvantil,ISI,
fractile graphical analysis,grafisk analys av fraktiler,ISI,
fraction defective,felkvot,ISI,
fractional Brownian motion,fraktionell brownsk rörelse,ISI,
fractional replication,fraktionell upprepning,ISI,
frailty model,frailty-modell,ISI,
frame,ram,ISI,
freehand method,frihandsmetod,ISI,
frequency,frekvens,ISI,
frequency curve,frekvenskurva,ISI,
frequency distribution,frekvensfördelning,ISI,
frequency domain,frekvensdomän,ISI,
frequency moment ; probability moment,frekvensmoment,ISI,
frequency polygon,frekvenspolygon,ISI,
frequency response function ; transfer function,frekvenssvarsfunktion,ISI,
frequency surface,frekvensyta,ISI,
frequency table,frekvenstabell,ISI,
frequency theory of probability,frekventistisk sannolikhetsteori,ISI,
frequentist,frekventist,ISI,
full information method,fullständig-informationsmetod,ISI,
functional relationship,funktionellt samband,ISI,
fundamental probability set ; reference set,utfallsrum,ISI,
fundamental random process,fundamental slumpprocess,ISI,
funnel plot,tratt-diagram,ISI,
fuzzy regression discontinuity,inexakt regressionssprångdesign,Lodefalk,
fuzzy set theory,oskarp mängdlära,ISI,
g-statistics,g-statistika,ISI,
gain function,förstärkningssfunktion; vinstfunktion,ISI,
gambler's ruin,spelarens ruin,ISI,
game theory,spelteori,ISI,
gamma coefficients,gammakoefficient,ISI,
gamma distribution,gammafördelning,ISI,
gamma function,gammafunktion,ISI,
gamma integral,gammaintegral,ISI,
gamma-frailty models,gamma-frailty-modell,ISI,
GARCH model ; generalised autoregressive conditional heteroscedasticity model ; generalized autoregressive conditional heteroscedasticity model,GARCH-modell,ISI,
general factor,g-faktor,ISI,
general interdependent system,generellt interdependent system,ISI,
general renewal process,generell förnyelseprocess,ISI,
generalised additive model ; generalized additive model ; GAM,generaliserad additiv modell,ISI,
generalised binomial distribution ; generalized binomial distribution ; Poisson binomial distribution,generaliserad binomialfördelning,ISI,
generalised bivariate exponential distribution ; generalized bivariate exponential distribution,generaliserad bivariat exponentialfördelning,ISI,
generalised classical linear estimators ; generalized classical linear estimators ; two-stage least squares,generaliserad klassisk linjär estimator,ISI,
generalised contagious distribution ; generalized contagious distribution,generaliserad kontagiös fördelning,ISI,
generalised cross-validation ; generalized cross-validation ;,generaliserad korsvalidering,ISI,
generalised distance ; generalized distance,generaliserat avstånd,ISI,
generalised distribution ; generalized distribution,generaliserad fördelning,ISI,
generalised estimating equations ; generalized estimating equations ; GEE,generaliserad skattningsekvation,ISI,
generalised extreme-value distribution ; generalized extreme-value distribution ;,generaliserad extremvärdesfördelning,ISI,
generalised gamma distributions ; generalized gamma distributions ; Creedy and Martin generalised gamma distribution ; Creedy and Martin generalized gamma distribution,generaliserad gammafördelning,ISI,
generalised inverse ; generalized inverse ; pseudo-inverse ; Moore-Penrose inverse,generaliserad invers,ISI,
generalised least squares estimator ; generalized least squares estimator,generaliserad minsta-kvadratestimator,ISI,
generalised linear model ; generalized linear model,generaliserad linjär modell,ISI,
generalised maximum likelihood estimator ; generalized maximum likelihood estimator,generaliserad maximum likelihoodestimator,ISI,
generalised mixed model ; generalized mixed model,generaliserad blandad modell,ISI,
generalised multinomial distribution ; generalized multinomial distribution,generaliserad multinomialfördelning,ISI,
generalised normal distribution ; generalized normal distribution ; Kapteyn's univariate distribution,generaliserad normalfördelning,ISI,
generalised stable law ; generalized stable law,generaliserad stabil fördelning,ISI,
generalised T² distribution ; generalized T² distribution,generaliserad T²-fördelning,ISI,
generating function,genererande funktion,ISI,
genetic algorithm,genetisk algoritm,ISI,
geometric distribution,geometrisk fördelning,ISI,
geometric mean,geometriskt medelvärde,ISI,
geometric moving average,geometriskt glidande medelvärde,ISI,
geometric probability,geometrisk sannolikhet,ISI,
geostatistics,geostatistik,ISI,
girdle distribution,ringfördelning,ISI,
given period,aktuell period,ISI,
goodness of fit,anpassningsgrad,ISI,
gradual changes,gradvis förändring,ISI,
graduation curve,utjämningsskurva,ISI,
Graeco-Latin square,grekisk-romersk kvadrat,ISI,
graphical estimator,grafisk estimator,ISI,
graphical model,grafisk modell,ISI,
grid,rutnät,ISI,
group,grupp,ISI,
group comparison,gruppjämförelse,ISI,
group divisible design ; group divisible PBIB,gruppdelbar försöksplan,ISI,
group divisible incomplete block design,gruppdelbar försöksplan med ofullständiga block,ISI,
group divisible rotatable designs,gruppdelbar roterbar försöksplan,ISI,
group factor,gruppfaktor,ISI,
group screening methods,gruppsållningsmetod,ISI,
group sequential design,gruppsekventiell försöksplan,ISI,
group testing,grupptestning,ISI,
grouped Poisson distribution,grupperad poissonfördeling,ISI,
grouping lattice,gitter för gruppindelning,ISI,
growth curve,tillväxtkurva,ISI,
Guttman scaling,guttmanskalning,ISI,
half-invariant ; semi-invariant,semi-invariant,ISI,
half-normal distribution ; semi-normal distribution,semi-normal fördelning,ISI,
half-normal plot,halv-normalplott,ISI,
half-normal probability paper,halv-normalfördelningspapper,ISI,
half-width ; semi-range,halv intervallängd,ISI,
harmonic analysis,harmonisk analys,ISI,
harmonic dial,harmoniskt klockdiagram,ISI,
harmonic distribution,harmonisk fördelning,ISI,
harmonic mean,harmoniskt medelvärde,ISI,
harmonic process,harmonisk process,ISI,
harmonic regression,harmonisk regression,ISI,
hat matrix,hattmatris,ISI,
hazard rate distribution,hasardfördelning,ISI,
heterogeneity,heterogenitet,ISI,
heterokurtic,oliktoppig,ISI,
heteroscedastic,heteroskedastisk,ISI,
heteroskedasticity,heteroskedasticitet,Lodefalk,
heteroskedasticity-consistent standard errors,robusta standardfel,Lodefalk,Also: robust SE
hidden Markov model,dold markovmodell,ISI,
hierarchical birth and death process,hierarkisk födelse-dödsprocess,ISI,
hierarchical classification ; nested classification,hierarkisk klassificering,ISI,
hierarchical cluster analysis,hierarkisk klusteranalys,ISI,
hierarchical group divisible design,hierarkisk grupp-delbar försöksplan,ISI,
hierarchical model,hierarkisk modell,ISI,
hierarchy,hierarki,ISI,
high-low graph,min-maxdiagram,ISI,
histogram,histogram,ISI,
historical controls,historiska kontroller,ISI,
hitting point,träfftidpunkt,ISI,
homogeneity,homogenitet,ISI,
homogeneous process,homogen process,ISI,
homokurtic,liktoppig,ISI,
homoscedastic,homoskedastisk,ISI,
homoskedasticity,homoskedasticitet,Lodefalk,
honest process,reguljär process,ISI,
horseshoe effect,hästskoeffekt,ISI,
hot deck method,hot deck-metod,ISI,
hyper-Graeco-Latin square,hyper-grekisk-romersk kvadrat,ISI,
hyper-spherical normal distribution,hypersfärisk normalfördelning,ISI,
hyperexponential distribution,hyperexponentialfördelning,ISI,
hypergeometric distribution,hypergeometrisk fördelning,ISI,
hypergeometric waiting time distribution ; inverse hypergeometric distribution,hypergeometrisk väntetidsfördelning,ISI,
hypothesis testing ; testing of hypothesis,hypotesprövning,ISI,
hypothetical population,hypotetisk population,ISI,
ideal index number,idealt index,ISI,
identical errors,likafördelade fel,ISI,
identifiability,identifierbarhet,ISI,
idle period,inaktiv period,ISI,
ill-conditioned,illakonditionerad,ISI,
illness-death model,sjukdom-död-modell,ISI,
illusory association ; illusory correlation ; nonsense correlation,nonsenskorrelation,ISI,
image analysis,bildanalys,ISI,
image processing,bildbehandling,ISI,
imbedded process,inbäddad process,ISI,
immigration,immigration,ISI,
improper distribution,oegentlig fördelning,ISI,
improper prior,oegentlig aprioriföredelning,ISI,
impulse response function,impulssvarsfördelning,ISI,
imputation,imputering,ISI,
inadmissible estimator,dominerad estimator,ISI,
incidence,incidens,ISI,
incidence rate,incidenstal,ISI,
inclusion probability,inklusionssannolikhet,ISI,
incomplete beta function,ofullständig betafunktion,ISI,
incomplete block,ofullständigt block,ISI,
incomplete census,ofullständig totalundersökning,ISI,
incomplete data,ofullständiga data,ISI,
incomplete gamma function,ofullständig gammafunktion,ISI,
incomplete Latin square ; Youden square,ofullständig romersk kvadrat,ISI,
incomplete multi-response design,ofullständig multi-responsdesign,ISI,
inconsistent estimator,inkonsistent estimator,ISI,
increasing failure rate,växande felintensitet,ISI,
increasing hazard rate,växande hasard,ISI,
independence,oberoende,ISI,
independent censoring,oberoende censurering,ISI,
independent trials,oberoende försök,ISI,
independent variable ; cause variable ; explanatory variable ; fixed variable ; predicated variable ; predictor ; predictor variable ; regressor,förklarande variabel; oberoende variabel,ISI,
index number ; index,indextal,ISI,
indicator function,indikatorfunktion,ISI,
indicator variable,indikatorvariabel,ISI,
indifference,indifferens,ISI,
indirect least squares,indirekt minsta-kvadratmetod,ISI,
indirect sampling,indirekt urval,ISI,
indirect standardisation ; indirect standardization,indirekt standardisering,ISI,
induction,induktion,ISI,
inefficient estimator,icke-effektiv estimator,ISI,
inefficient statistic,icke-effektiv statistika,ISI,
inequality coefficient,olikhetskoefficient,ISI,
inferential statistics,statistisk inferens,ISI,
infinite divisibility,oändlig delbarhet,ISI,
infinite population ; infinite universe,oändlig population,ISI,
inflation factor,uppräkningsfaktor,ISI,
influence,influens,ISI,
influence curve,influenskurva,ISI,
influence function,influensfunktion,ISI,
influential observation,inflytelserik observation,ISI,
information,information,ISI,
information criterion,informationskriterium,ISI,
information matrix,informationsmatris,ISI,
information theory,informationsteori,ISI,
informative censoring,informativ censurering,ISI,
informative prior,informativ apriorifördelning,ISI,
inherent bias,inneboende bias,ISI,
inhomogeneous Poisson process,inhomogen poissonprocess,ISI,
input/output process,input-output-process,ISI,
inspection by attribute,attributkontroll,ISI,
inspection diagram,kontrolldiagram,ISI,
inspection lot,kontrollparti,ISI,
instantaneous state,ögonblickstillstånd,ISI,
instrumental variable,instrumentalvariabel,ISI,
integer programming,heltalsprogrammering,ISI,
integrated data,integrerade data,ISI,
integrated moving average process ; IMA process,IMA-process,ISI,
integrated spectrum,integrerat spektrum,ISI,
intensity,intensitet,ISI,
intensity function,intensitetsfunktion,ISI,
intensive sampling,intensivt urval,ISI,
intention-to-treat (ITT),behandlingsavsiktsanalys,Lodefalk,
interaction,samspel,ISI,
interblock,mellanblocks-,ISI,
intercalate Latin square,inskjuten romersk kvadrat,ISI,
intercept,intercept; skärning,ISI,
interclass correlation,mellanklasskorrrelation,ISI,
interclass variance,mellanklassvarians,ISI,
interdecile range,decilavstånd,ISI,
internal validity,intern validitet,ISI,
internal variance,inomklassvarians,ISI,
interpenetrating samples (subsamples) ; network of samples,interpenetrerande urval,ISI,
interpolation,interpolering,ISI,
interquartile range ; IQR,kvartilavstånd,ISI,
interval censoring,intervallcensurering,ISI,
interval distribution,intervallängdsfördelning,ISI,
interval estimation,intervallskattning,ISI,
intervention analysis,interventionsanalys,ISI,
interviewer bias,intervjuarbias,ISI,
intrablock,inomblocks-,ISI,
intrablock analysis,inomblocksanalys,ISI,
intraclass correlation,inomklasskorrelation,ISI,
intraclass variance,inomklassvarians,ISI,
intrinsic accuracy,inneboende noggrannhet,ISI,
invariance,invarians,ISI,
invariance method,invariansmetod,ISI,
invariant,invariant,ISI,
inventory problems,lagerproblem,ISI,
inverse distribution,invers fördelning,ISI,
inverse Gaussian distribution ; Wald distribution ; inverse normal distribution,invers normalfördelning,ISI,
inverse moment,moment av negativ ordning,ISI,
inverse probability,invers sannolikhet,ISI,
inverse probability weighting (IPW),invers sannolikhetsviktning,Lodefalk,
inverse problems,inversproblem,ISI,
inverse sampling,invers sampling,ISI,
inverse sine transformation,arcsinustransformation,ISI,
inversion,invertering,ISI,
irreducible Markov chain ; irreducible chain,irreducibel markovkedja,ISI,
isokurtosis,liktoppighet,ISI,
isometric chart,isometriskt diagram,ISI,
isomorphism,isomorfi,ISI,
isotonic regression function,isotonisk regressionsfunktion,ISI,
isotropic distribution,isotropisk fördelning,ISI,
isotropy,isotropi,ISI,
item analysis,item-analys,ISI,
iterated bootstrap,itererad bootstrap,ISI,
iterative weighted least squares,iterativ vägd minsta-kvadratmetod,ISI,
J-shaped distribution,J-formad fördelning,ISI,
jackknife,jackknife,ISI,
jackknife variance estimator,jackknife-variansestimator,ISI,
joint prediction intervals,simultana prediktionsintervall,ISI,
joint sufficiency,simultan tillräcklighet,ISI,
judgment sample,bedömningsurval,ISI,
jump matrix,hoppmatris,ISI,
just identified model,exakt identifierad modell,ISI,
k-class estimator,k-klassestimator,ISI,
k-means clustering,k-medelvärdesklustring,ISI,
k-ratio,k-kvot,ISI,
k-samples problem,k-sampelproblem,ISI,
K-test,K-test,ISI,
Kalman filter,kalmanfilter,ISI,
kernel density estimator,kärnestimator,ISI,
kernel estimate ; kernel estimator,kärnestimat,ISI,
kernel smoothing in regression,kärnutjämning i regression,ISI,
kriging,kriging,ISI,
kurtosis,toppighet,ISI,
L-estimator,L-estimator,ISI,
L-tests,L-test,ISI,
ladder index,stegindex,ISI,
ladder variable,stegvariabel,ISI,
lag,tidsförskjutning; lagg,ISI,
lag correlation,,ISI,
lag covariance,,ISI,
lag regression,regression med tidsförskjutna variabler,ISI,
Laplace transform,laplace-transform,ISI,
latent class analysis ; latent trait analysis,latent klass-analys,ISI,
latent structure,latent struktur,ISI,
latent variable,latent variabel,ISI,
Latin cube,romersk kub,ISI,
Latin rectangle,romersk rektangel,ISI,
Latin square,romersk kvadrat,ISI,
lattice design,gitterdesign,ISI,
lattice distributions,gitterfördelning,ISI,
lattice square,gitterkvadrat,ISI,
law of iterated logarithm,itererad logaritm-lag,ISI,
law of large numbers,stora talens lag,ISI,
law of small numbers,små talens lag,ISI,
least significant difference test ; LSD test,LSD-test,ISI,
least squares estimator,minsta-kvadratestimator,ISI,
least squares method,minsta-kvadratmetod,ISI,
left-censoring,vänster-censurering,ISI,
left-truncation,vänster-trunkering,ISI,
leptokurtosis,flacktoppighet,ISI,
level map,nivåkarta,ISI,
level of a factor,faktornivå,ISI,
level of interpenetration,interpenetreringsnivå,ISI,
level of significance ; significance level,signifikansnivå,ISI,
leverage ; influence ; leverage point,hävstångseffekt,ISI,
life expectancy,förväntad livslängd,ISI,
life table,livslängdstabell,ISI,
lifetime distribution,livslängdsfördelning,ISI,
likelihood,likelihood,ISI,
likelihood principle,likelihood-princip,ISI,
likelihood ratio,likelihood-kvot,ISI,
likelihood ratio test,likelihood-kvottest,ISI,
Likert scale,likertskala,ISI,
limited information estimator,informationsbegränsad estimator,ISI,
limited information methods,informationsbegränsade  metoder,ISI,
line of equal distribution ; line of equidistribution,likhetslinje,ISI,
line sampling,linjesampling,ISI,
line spectrum,linjespektrum,ISI,
linear constraint,linjärt bivillkor,ISI,
linear discriminant function,linjär diskriminantfunktion,ISI,
linear estimator,linjär estimator,ISI,
linear failure rate distribution,fördelning med linjär felintensitet,ISI,
linear hypothesis,linjär hypotes,ISI,
linear maximum likelihood method,linjär maximum-likelihoodmetod,ISI,
linear model,linjär modell,ISI,
linear process,linjär process,ISI,
linear programming,linjär programmering,ISI,
linear regression,linjär regression,ISI,
linear structural relation,linjär strukturekvation,ISI,
linear sufficiency,linjär tillräcklighet,ISI,
linear trend ; rectilinear trend,linjär trend,ISI,
linearised maximum likelihood method ; linearized maximum likelihood method,lineariserad maximum-likelihoodmetod,ISI,
link function,länkfunktion,ISI,
linkage,koppling,ISI,
linkage analysis,kopplingsanalys,ISI,
linked blocks,kopplade block,ISI,
linked data,länkade data,ISI,
linked samples,kopplade stickprov,ISI,
list sample,listurval,ISI,
loading,laddning,ISI,
local asymptotic efficiency,lokal asymptotisk effektivitet,ISI,
local average treatment effect (LATE),lokal genomsnittlig behandlingseffekt,Lodefalk,
local likelihood estimation,lokal likelihood-skattning,ISI,
location,läge,ISI,
location parameter,lägesparameter,ISI,
log F distribution,log-F-fördelning,ISI,
log gamma distribution,log-gammafördelning,ISI,
log-chi-squared distribution,log-chitvå-fördelning,ISI,
log-linear models,log-linjär modell,ISI,
log-log transformation,log-log-transformation,ISI,
log-logistic distribution,log-logistisk fördelning,ISI,
log-rank test ; Mantel-Haenszel test,log-rangtest,ISI,
logarithmic chart ; logarithmic graph,logaritmiskt diagram,ISI,
logarithmic normal distribution ; lognormal distribution,log-normalfördelning,ISI,
logarithmic series distribution,logaritmseriefördelning,ISI,
logarithmic transformation,logaritmisk transformation,ISI,
logistic curve ; Pearl-Read curve,logistika,ISI,
logistic distribution,logistisk fördelning,ISI,
logistic process,logistisk process,ISI,
logistic regression ; linear logistic regression,logistisk regression,ISI,
logit,logit,ISI,
lognormal,log-normal,ISI,
longitudinal survey,longitudinell undersökning,ISI,
Lorenz curve,lorenzkurva,ISI,
loss function,förlustfunktion,ISI,
loss matrix,förlustmatris,ISI,
loss of information,informationsförlust,ISI,
lot,parti,ISI,
lot quality protection,kvalitetsskydd för enskilt parti,ISI,
lot tolerance per cent defective,högsta tillåtna felkvot i parti,ISI,
lottery sampling ; ticket sampling,tombolaurval,ISI,
lower control limit,undre styrgräns,ISI,
lower quartile,undre kvartil,ISI,
M-estimate,M-skattning,ISI,
M-estimator,M-estimator,ISI,
machine learning,maskininlärning,Lodefalk,
magic square design,magisk-kvadratförsök,ISI,
main effect,huvudeffekt,ISI,
manifold classification ; multiple classification,flerdimensionell klassificering,ISI,
marginal category,marginalkategori,ISI,
marginal classification,marginalklassificering,ISI,
marginal distribution,marginalfördelning,ISI,
marked point process,märkt punkt-process,ISI,
marker variable,markörvariabel,ISI,
Markov chain,markovkedja,ISI,
Markov chain Monte Carlo ; MCMC,MCMC,ISI,
Markov field,markovfält,ISI,
Markov process,markovprocess,ISI,
martingale,martingal,ISI,
master sample,basurval,ISI,
matched samples,matchade urval,ISI,
matching,matchning,ISI,
matching coefficient,matchningskoefficient,ISI,
matching distribution,matchningsfördelning,ISI,
matrix sampling,matrisurval,ISI,
maximin criterion,maximin-kriterium,ISI,
maximum entropy method,maximum entropi-metod,ISI,
maximum entropy principle,maximum entropi-princip,ISI,
maximum likelihood estimator ; MLE,maximum likelihood-estimator,ISI,
maximum likelihood method,maximum likelihood-metod,ISI,
mean difference,medeldifferens,ISI,
mean direction,medelriktning,ISI,
mean range,genomsnittlig variationsvidd,ISI,
mean residual life,återstående medellivslängd,ISI,
mean square,medelkvadrat,ISI,
mean square deviation,medelkvadratavvikelse,ISI,
mean square error,medelkvadratfel,ISI,
mean values,medelvärde,ISI,
measure of location ; measure of central tendency,lägesmått,ISI,
median,median,ISI,
median effective dose ; ED50,medianeffektiv dos; ED50,ISI,
median lethal dose ; lethal dose 50 ; LD50,medianletal dos; LD50,ISI,
median survival time,medianöverlevnadstid,ISI,
median test,mediantest,ISI,
median unbiased confidence interval,medianriktigt konfidensintervall,ISI,
median unbiasedness,medianriktighet,ISI,
mesokurtosis,medeltoppighet,ISI,
meta-analysis,metaanalys,ISI,
metameter,metameter,ISI,
method of moments,momentmetod,ISI,
method of path coefficients ; standardised regression coefficients ; standardized regression coefficients,stigkoefficientmetod,ISI,
method of steepest ascent,brantaste lutningsmetod,ISI,
mid-mean,kvartiltrimmat medelvärde,ISI,
mid-range,variationsområdets mittpunkt,ISI,
mid-rank method,medelrangmetod,ISI,
minimal sufficient statistics,minimal tillräcklig statistika,ISI,
minimax estimation,minimax-skattning,ISI,
minimax principle,minimax-princip,ISI,
minimax regret principle,minimax-regret-princip,ISI,
minimax robust estimator,minimax-robust estimator,ISI,
minimax strategy,minimax-strategi,ISI,
minimum chi-squared,minimum chitvå,ISI,
minimum completeness,minimal fullständighet,ISI,
minimum variance,minsta varians,ISI,
misclassification,felklassificering,ISI,
missing at random ; MAR,slumpmässigt saknat; MAR,ISI,
missing completely at random ; MCAR,fullständigt slumpmässigt saknat; MCAR,ISI,
missing data,saknat värde,ISI,
mixed autoregressive-moving average process ; ARMA process,ARMA-process,ISI,
mixed distribution,sammansatt fördelning,ISI,
mixed model,blandad modell,ISI,
mixed strategy,blandad strategi,ISI,
mixture distribution,blandfördelning,ISI,
mixture of distributions,blandning av fördelningar,ISI,
mode ; modal value,typvärde,ISI,
model,modell,ISI,
model I ; first kind model,modell av typ I,ISI,
model II ; second kind model ; random effects model,modell av typ II,ISI,
modified binomial distribution,modifierad binomialfördelning,ISI,
modified control limits,modifierade styrgränser,ISI,
modified exponential curve,modifierad exponentialkurva,ISI,
modified Latin square,modifierad romersk kvadrat,ISI,
modified mean ; modified arithmetic mean ; trimmed mean,modifierat medelvärde,ISI,
modified normal distributions,modifierad normalfördelning,ISI,
moment ; moment coefficient ; power moment,moment,ISI,
moment estimator,momentestimator,ISI,
moment generating function,momentgenererande funktion,ISI,
moment matrix,momentmatris,ISI,
moment ratio,momentkvot,ISI,
monotone likelihood ratio,monoton likelihood-kvot,ISI,
monotone regression,monoton regression,ISI,
Monte Carlo method,Monte Carlo-metod,ISI,
monthly average,månadsmedelvärde,ISI,
morphometrics,morfometri,ISI,
most efficient estimator,effektivaste estimator,ISI,
most powerful critical region,starkaste kritiska område,ISI,
most powerful rank test,starkaste rangtest,ISI,
most powerful test,starkaste test,ISI,
most stringent test,mest stringenta test,ISI,
moving annual total,glidande årssumma,ISI,
moving average,glidande medelvärde,ISI,
moving average method,glidande medelvärdesmetod,ISI,
moving average model,glidande medelvärdesmodell,ISI,
moving average process ; Slutsky process,glidande medelvärdesprocess,ISI,
moving range,glidande variationsvidd,ISI,
moving seasonal variation,glidande säsongvariation,ISI,
moving summation process,glidande summationsprocess,ISI,
moving total,glidande summa,ISI,
moving weights,glidande viktsystem,ISI,
multi-dimensional scaling,flerdimensionell skalning,ISI,
multi-equational model ; simultaneous equations model,flerekvationsmodell,ISI,
multi-factorial design,flerfaktor-design,ISI,
multi-modal distribution,flertoppig fördelning,ISI,
multi-phase sampling,flerfasurval,ISI,
multi-stage sample ; multi-stage sampling,flerstegsurval,ISI,
multi-temporal model,multi-temporal modell,ISI,
multi-valued decision,flervärdesbeslut,ISI,
multicollinearity,multikollinearitet,ISI,
multilinear process,multilinjär process,ISI,
multinomial distribution,multinomialfördelning,ISI,
multiple bar chart,grupperat stapeldiagram,ISI,
multiple comparisons,multipla jämförelser,ISI,
multiple decision methods,multipel beslutsmetod,ISI,
multiple decision problem,multipelt beslutsproblem,ISI,
multiple factor analysis,multipel faktoranalys,ISI,
multiple imputation,multipel imputering,ISI,
multiple Markov process,multipel markovprocess,ISI,
multiple phase process,flerfasprocess,ISI,
multiple Poisson distribution,multipel poissonfördelning,ISI,
multiple Poisson process,multipel poissonprocess,ISI,
multiple regression,multipel regression,ISI,
multiple sampling,multipel provtagning,ISI,
multiple stratification,multipel stratifiering,ISI,
multiple time series,multipel tidsserie,ISI,
multiplicity,multiplicitet,ISI,
multistate model,flertillståndsmodell,ISI,
multivariate analysis,multivariat analys,ISI,
multivariate analysis of variance table ; MANOVA table,MANOVA-tabell,ISI,
multivariate beta distribution,multivariat betafördelning,ISI,
multivariate binomial distribution,multivariat binomialfördelning,ISI,
multivariate distribution ; joint distribution,flerdimensionell fördelning; multivariat fördelning,ISI,
multivariate exponential distribution,flerdimensionell exponentialfördelning,ISI,
multivariate F-distribution,flerdimensionell F-fördelning,ISI,
multivariate multinomial distribution,flerdimensionell multinomialfördelning,ISI,
