english,swedish
cluster sampling ; multi-stage sampling ; sequential selection ; sequential sampling,klustersampling
clustering,klusterbildning
coefficient,koefficient
coefficient of agreement,överensstämmelsekoefficient
coefficient of association,associationskoefficient
coefficient of concentration,koncentrationskoefficient
coefficient of concordance ; Kendall’s coefficient of concordance ; rank concordance coefficient,konkordanskoefficient
coefficient of consistence,konsistenskoefficient
coefficient of contingency,kontingenskoefficient
coefficient of correlation,korrelationskoefficient
coefficient of determination,förklaringsgrad; determinationskoefficient
coefficient of multiple correlation ; multiple correlation coefficient,multipel korrelationskoefficient
coefficient of multiple partial correlation,multipel partiell korrelationskoefficient
coefficient of variation ; variation coefficient ; percentage standard deviation,variationskoefficient
coherence,koherens
cohort,kohort
cohort life table,kohortbaserad livslängdstabell
cohort study,kohortstudie
cold deck method,cold deck-metod
collinearity,kollinearitet
combination of tests,kombinering av test
combinatorial methods,kombinatoriska metoder
combinatorial test,kombinatoriskt test
common factor,gemensam faktor
common factor variance ; communality,kommunalitet
communicate,kommunicera
communicating class,kommunicerande klass
compact (serial) cluster,kompakt kluster
compartment models,kompartmentmodell
competing risks,konkurrerande risker
complete case analysis,analys av fullständiga fall
complete class (of decision functions),fullständig klass (av beslutsfunktioner)
complete class (of tests),fullständig klass (av tester)
complete correlation matrix,fullständig korrelationsmatris
complete Latin square,fullständig romersk kvadrat
complete linkage clustering,fullständig länk-klustring
complete set of Latin squares,fullständig mängd av romerska kvadrater
complete sufficient statistic,fullständig uttömmande statistika
complete system of equations,fullständigt ekvationssystem
completely randomised design ; completely randomized design,fullständigt randomiserad försöksplan
completeness,fullständighet
component analysis,komponentanalys
component bar chart,ackumulerat stapeldiagram
component of interaction,samspelskomponent
component of variance ; variance component,varianskomponent
composite estimator,sammansatt estimator
composite hypothesis,sammansatt hypotes
composite sampling scheme,sammansatt urvalsplan
compound distribution ; compound frequency distribution,sammansatt fördelning
compressed limits,insnävade gränser
computer-intensive methods,datorintensiv metod
concentration,koncentration
concomitant variable ; covariate,kovariat
concordance,konkordans
conditional,betingad
conditional distribution,betingad fördelning
conditional expectation ; conditional expected value,betingat väntevärde
conditional failure rate ; hazard,hasard
conditional Gaussian distribution ; CG distribution,betingad normalfördelning
conditional independence,betingat oberoende
conditional inference,betingad inferens
conditional likelihood,betingad likelihood
conditional logistic regression,betingad logistisk regression
conditional maximum likelihood,betingad maximum likelihood
conditional power function,betingad styrkefunktion
conditional probability,betingad sannolikhet
conditional regression,betingad regression
conditional statistic,betingad statistika
conditional survivor function,betingad överlevnadsfunktion
conditional test,betingat test
conditionally unbiased estimator,betingat väntevärdesriktig skattning
confidence belt ; confidence band,konfidensband
confidence coefficient ; confidence level,konfidensnivå
confidence interval,konfidensintervall
confidence limits,konfidensgränser
confidence region,konfidensområde
configuration ; grid sampling,konfiguration
confirmatory factor analysis ; CFA,konfirmativ faktoranalys
confluence analysis,konfluensanalys
conformity,överensstämmelse
confounding,confounding
conjugate distribution,konjugerad fördelning
conjugate Latin squares,konjugerade romerska kvadrater
conjugate prior,konjugerad apriorifördelning
conjugate ranking,konjugerad rangordning
consistency,konsistens
consistent estimator,konsistent estimator
consistent test,konsistent test
constraint,bivillkor
consumer price index ; cost-of-living index ; consumption price index ; CPI,konsumentprisindex
consumer's risk,konsumentrisk
contagious distribution,kontagiös fördelning
contaminated distribution,kontaminerad fördelning
content validity,innehållsvaliditet
contingency,kontingens
contingency table,kontingenstabell
continuity,kontinuitet
continuity correction ; correction for continuity,kontinuitetskorrektion
continuous process,kontinuerlig process
continuous random variable,kontinuerlig stokastisk variabel
continuous sampling plans,kontinuerlig provtagningsplan
contrast,kontrast
control,kontroll; styrning; reglering
control chart,styrdiagram; kontrolldiagram
control limits,styrgränser; kontrollgränser
control method,styrmetod; kontrollmetod
controlled process,styrd process; process under kontroll
convergence in measure,konvergens i fördelning
convergence in probability,konvergens i sannolikhet
convolution,faltning; konvolution
copula,kopula
corrected moment,korrigerat moment
correction factor,korrektionsfaktor
correction for grouping,korrektion för klassindelning
correlation,korrelation
correlation matrix,korrelationsmatris
correlation table,korrelationstabell
correlogram,korrelogram
correspondence analysis ; reciprocal scaling,korrespondensanalys
cost function,kostnadsfunktion
counting process,räkneprocess
covariance,kovarians
covariance kernel,kovarianskärna
covariance matrix ; dispersion matrix,kovariansmatris
covariation,samvariation
coverage,täckning
coverage probability,täckningssannolikhet
criterion,kriterium
critical region ; rejection region,förkastelseområde
critical value ; rejection limit ; significance point,kritiskt värde
cross-correlation,korskorrelation
cross-covariance,korskovarians
cross-over design ; switchback design ; reversal design,crossover-design
cross-sectional survey,tvärsnittsundersökning
cross-validation,korsvalidering
cubic lattice,kubgitter
cumulant,kumulant
cumulant generating function,kumulantgenererande funktion
cumulative distribution function ; cumulative probability function ; cumulative frequency function ; distribution function ; probability integral,fördelningsfunktion
cumulative error,ackumulerat fel
cumulative frequency curve ; cumulative probability curve,fördelningsfunktion
cumulative incidence,kumulativ incidens
cumulative process,kumulativ process
cumulative risk ; cumulative hazard,kumulativ risk
cumulative sum chart,kusumdiagram
cumulative sum distribution,kusumfördelning
current life table,tidsbegränsad livslängdstabell
curtailed inspection,avbruten kontroll
curve fitting,kurvanpassning
curve of concentration,koncentrationskurva
curvilinear trend,kurvlinjär trend
CUSUM procedures,kusumprocedur
cut-off,cut-off
cycle,cykel
cyclic design,cyklisk försöksplan
cyclic order,cyklisk ordning
cyclic series,cyklisk serie
D²-statistic ; Mahalanobis' generalised distance ; Mahalanobis' generalized distance,D²-statistika
damped oscillation,dämpad svängning
damping factor,dämpningsfaktor
data ; datum,data
data analysis,dataanalys
database ; data bank,databas
death process,dödsprocess
death rate,dödstal
decapitated distribution ; decapitated negative binomial distribution,nolltrunkerad fördelning
decile,decil
decision function ; decision rule,beslutsfunktion
decision space,beslutsrum
decision theory,beslutsteori
decomposable models,spjälkbar model
decomposition,spjälkning
deconvolution,dekonvolution
decreasing failure rate,avtagande felintensitet
decreasing hazard rate,avtagande hasard
defective sample,ofullständigt stickprov
defective unit,defekt enhet
defining contrast,definierande kontrast
degenerate distribution ; deterministic distribution,degenererad fördelning; enpunktsfördelning
degree of belief,grad av tilltro
degrees of freedom,frihetsgrader
delta distribution,deltafördelning
delta method,deltametod
demodulation,demodulering
demography,demografi
dendrogram,dendrogram; träddiagram
density estimation,skattning av täthetsfunktion
density function,täthetsfunktion; frekvensfunktion
departure process,utprocess
dependence ; dependency,beroende
dependent variable ; effect variable ; regressand ; response variable,beroende variabel
derived statistics,härledd statistika
descriptive indices,beskrivande index
descriptive statistics,beskrivande statistik
descriptive survey,beskrivande undersökning
design matrix,design-matris
design of experiments,försöksplanering
design optimality ; optimality of design,design-optimalitet
destructive test,förstörande provning
determining variable,förklarande variabel
deterministic model,deterministisk modell
deterministic process,deterministisk process
deviate ; deviation,standardiserad variabel
diagonal regression,diagonal regression
dichotomy,dikotomi
difference sign test,teckentest på successiva ändringar
differential process ; process with independent increments,differentialprocess
differential-difference equation,differential-differensekvation
diffuse prior ; vague prior,icke-informativ apriorifördelning
diffusion index,diffusionsindex
diffusion process,diffusionsprocess
dilution series,utspädningsserie
dimension reduction,dimensionsreducering
direct correlation ; positive correlation,positiv korrelation
direct sampling,direkturval
direct standardisation ; direct standardization,direkt standardisering
directional data,riktningsdata
dirty data,oediterade data
disability adjusted life year ; DALY,invaliditetsjusterade levnadsår
discontinuous process,diskontinuerlig process
discontinuous variable,diskontinuerlig variabel
discordance,diskordans
discounted least squares method,"diskonterad minsta-
kvadratmetod"
discrepance,diskrepans; skillnad
discrete circular uniform distribution,"diskret cirkulär likformig
fördelning"
discrete distribution,diskret fördelning
discrete lognormal distribution,diskret lognormalfördelning
discrete normal distribution,diskret normalfördelning
discrete power series distribution,diskret potensseriefördelning
discrete probability law,diskret sannolikhetsfördelning
discrete process,diskret process
discrete random variable,diskret stokastisk variabel
discrete rectangular distribution,diskret likformig fördelning
discrete variate,diskret stokastisk variabel
discrete wavelet transformation,diskret  wavelet-transformation
discriminant analysis ; discriminatory analysis,diskriminantanalys
disnormality,icke-normalitet
dispersion ; spread ; variance,spridning; dispersion
dispersion index ; index of dispersion,dispersionsindex
dispersion stabilising transformation ; dispersion stabilizing transformation,spridningsstabiliserande transformation
displaced Poisson distribution,förskjuten poissonfördelning
disproportionate subclass numbers,icke-proportionella subklasstorlekar
dissection (of heterogeneous distributions),uppdelning (av heterogen fördelning)
dissimilarity,olikhet
dissymmetry,icke-symmetri
distance,avstånd
distance distributions,avståndsfördelning
distance measures,avståndsmått
distributed lag,fördelad tidsförskjutning
distribution,fördelning
distribution curve,fördelningskurva
distribution mixture,fördelningblandning
distribution of exceedances,överskridandefördelning
distribution of run lengths,svitlängdsfördelning
distribution-free method,fördelningfri metod
distribution-free sufficiency,fördelningsfri tillräcklighet
disturbed harmonic process,störd harmonisk process
disturbed oscillation,störd svängning
divergence,divergens
domain of study,redovisningsgrupp; domän
dominating strategy,dominerande strategi
dose metameter,dosmetameter
dose-response curve,dos-responskurva
dose-response relationship,dos-responssamband
dotplot,punktdiagram
double binomial distribution,dubbel binomialfördelning
double censoring,dubbel censurering
double confounding,dubbel confounding
double dichotomy,dubbel dikotomi
double exponential distribution ; Laplace distribution,dubbel exponentialfördelning
double logarithmic chart,dubbellogaritmiskt diagram
double sampling,dubbelsampling
double-blind,dubbelblind
double-ratio estimator,dubbel-kvotestimator
doubly stochastic matrix,dubbelstokastisk matris
doubly stochastic Poisson process ; Cox process,dubbelstokastisk poissonprocess
doubly truncated normal distribution,dubbelt trunkerad normalfördelning
downward bias,systematisk underskattning
dropout,avhoppare
dual process,dualprocess
duality,dualitet
dummy observation,dummyobservation
dummy treatment,dummybehandling
dummy variable,dummyvariabel
duplicate sample,parallellurval
duplicated sample,duplicerat urval
dynamic model,dynamisk modell
dynamic programming,dynamisk programmering
dynamic stochastic process,dynamisk stokastisk process
dynamic treatment allocation,dynamisk behandlingsallokering
econometrics,ekonometri
effective degrees of freedom,effektivt antal frihetsgrader
effective unit,icke-defekt enhet
efficiency,effektivitet
efficiency factor,effektivitetsfaktor
efficiency index,effektivitetsindex
efficient estimator,effektiv estimator
elementary contrast,elementär kontrast
elementary renewal theorem,grundläggande förnyelsesatsen
elementary unit,elementär enhet
elimination,eliminering
ellipse of concentration,koncentrationsellips
ellipsoidal normal distribution,ellipsoid normalfördelning
elliptical normal distribution,elliptisk normalfördelning
elliptical truncation,elliptisk trunkering
elliptically symmetric distributions,elliptiskt symmetrisk fördelning
ellipticity,ellipticitet
empirical Bayes' estimator,empirisk bayes-estimator
empirical Bayes' procedure,empirisk bayes-procedur
empirical distribution function,empirisk fördelningsfunktion
empirical likelihood,empirisk likelihood
empirical probit,empirisk probit
end corrections,ändpunktskorrektion
endogenous variate ; endogenous variable,endogen variabel
entropy,entropi
environmental statistics,miljöstatistik
epidemic,epidemi; epidemisk
epidemic process ; epidemic model,epidemisk process
epidemiology,epidemiologi
epsilon-independence ; ε-independence,epsilon-oberoende
equal probability of selection method ; epsem sampling,urvalsmetod med lika sannolikheter
equally correlated distribution,likakorrelerad fördelning
equal-tails test,symmetriskt test
equilibrium,jämviktsläge
equilibrium distribution,jämviktsfördelning
equilibrium renewal process,stationär förnyelseprocess
equivalence class,ekvivalensklass
equivalence testing,ekvivalenstest
equivalent dose,likvärdig dos
equivalent samples,likvärdiga stickprov
equivariant estimator,ekvivariant estimator
ergodic state,ergodiskt tillstånd
ergodicity,ergodicitet
error,fel
error band,felmarginal
error function ; Kramp function,felfunktion
error function complement,felfunktionskomplement
error in equations,fel i ekvationer
error mean square,medelkvadratsumma för residualer
error of estimation,estimationsfel
error of observation,observationsfel
error sum of squares ; residual sum of squares,residualkvadratsumma
error variance ; residual variance,residualvarians
errors in surveys,fel i undersökningar
errors-in-variables model,modell med fel i variabler
essential completeness,essentiell fullständighet
estimable,skattningsbar; estimerbar
estimate,skattning; estimat
estimating equation,skattningsekvation
estimation ; estimating,skattning; estimation
estimator,stickprovsfunktion; estimator; skattning
Euclidean distance,euklidiskt avstånd
event,händelse
event history data,händelsehistoria
event space ; sample space ; sample description space,utfallsrum
evolutionary operation,evolutionär operation
evolutionary process,evolutionär process
evolutionary spectrum,evolutionärt spektrum
exact statistical method,exakt statistisk metod
exact test,exakt test
exceedance life test,livslängdsöverskottstest
exceedances,överskridande
exceedances tests,överskottstest
exchangeability,utbytbarhet
exchangeable (variables) ; symmetrically dependent,utbytbara variabler
exhaustive sampling,uttömmande urval; totalundersökning
exogenous variate ; exogenous variable,exogen variabel
expectation ; expected value,väntevärde
expected frequencies ; theoretical frequencies,förväntad frekvens
expected probit,förväntad probit
experimental error,försöksfel
experimental unit,försöksenhet
expert system,expertsystem
exploratory data analysis ; EDA,explorativ dataanalys; EDA
exploratory survey,explorativ undersökning
explosive process,exploderande process
exponential curve,exponentialkurva
exponential dispersion model,exponentiell spridningsmodell
exponential distribution ; negative exponential distribution,exponentialfördelning
exponential family ; Koopman-Darmois family,exponentialfamilj
exponential regression,exponentiell regression
exponential smoothing,exponentiell utjämning
extended Bayes' decision rule,utvidgad bayesiansk beslutsregel
extended hypergeometric distribution,utvidgad hypergeometrisk fördelning
extended negative binomial distribution,utvidgad negativ binomialfördelning
external validity,extern validitet
extrapolation,extrapolering
extrapolation forecasting,prognos genom extrapolering
extremal index,extremalindex
extremal intensity,extremalintensitet
extremal process,extremalprocess
extremal quotient,extremalkvot
extremal statistic,extremalstatisika
extreme mean,extremt medelvärde
extreme studentised deviate ; extreme studentized deviate,extrem studentiserad variabel
extreme values,extremvärde
extreme-value distributions ; Gumbel distribution,extremvärdesfördelning
factor,faktor
factor analysis,faktoranalys
factor loading ; test coefficient,faktorladdning
factor matrix,faktormatris
factor pattern,faktormönster
factor rotation,faktorrotation
factor score,faktorpoäng
factorial cumulant,faktoriell kumulant
factorial cumulant generating function,faktoriell kumulantgenererande funktion
factorial distribution,faktoriell fördelning
factorial experiment ; factorial design,faktorförsök
factorial moment,faktoriellt moment
factorial moment generating function,faktoriell momentgenererande funktion
factorial multinomial distribution ; multivariate hypergeometric distribution,faktoriell multinomialfördelning
factorial sum,faktorialsumma
failure rate ; hazard rate ; hazard function,felintensitet
fair game ; equitable game,rättvist spel
false negative,falskt negativ
false positive,falskt positiv
fast Fourier transform ; FFT,snabb fouriertransform
fatigue models,utmattningsmodell
F-distribution ; Snedecor's F-distribution ; variance ratio distribution,F-fördelning
fertility gradient,fertilitetsgradient
fertility rate,fertilitetstal
fiducial distribution,fiduciell fördelning
fiducial inference,fiduciell inferens
fiducial limits,fiduciella gränser
fiducial probability,fiduciell sannolikhet
filter,filter
finite arc sine distribution,ändlig arcsinusfördelning
finite Markov chain,ändlig markovkedja
finite multiplier ; finite population correction ; finite sampling correction,ändlighetskorrektion
finite population,ändlig population
first passage time ; entrance time,första passagetid
first return time,första återkomsttid
first stage unit,förstastegsenhet; primär urvalsenhet
fixed base index,fastbasindex
fixed effects (constants) model,modell med fixa effekter
fixed sample,stående urval
folded distributions,absolutvärdesfördelning
follow-up,uppföljning
forecasting ; prediction,prognos
forward equations,framåtekvationer
four-fold table ; two-by-two frequency table,fyrfältstabell
Fourier analysis,fourieranalys
Fourier transform,fouriertransform
fractal,fraktal
fractile ; quantile,fraktil; kvantil
fractile graphical analysis,grafisk analys av fraktiler
fraction defective,felkvot
fractional Brownian motion,fraktionell brownsk rörelse
fractional replication,fraktionell upprepning
frailty model,frailty-modell
frame,ram
freehand method,frihandsmetod
frequency,frekvens
frequency curve,frekvenskurva
frequency distribution,frekvensfördelning
frequency domain,frekvensdomän
frequency moment ; probability moment,frekvensmoment
frequency polygon,frekvenspolygon
frequency response function ; transfer function,frekvenssvarsfunktion
frequency surface,frekvensyta
frequency table,frekvenstabell
frequency theory of probability,frekventistisk sannolikhetsteori
frequentist,frekventist
F-test ; variance ratio test,F-test
full information method,fullständig-informationsmetod
functional relationship,funktionellt samband
fundamental probability set ; reference set,utfallsrum
fundamental random process,fundamental slumpprocess
funnel plot,tratt-diagram
fuzzy set theory,oskarp mängdlära
gain function,förstärkningssfunktion; vinstfunktion
gambler's ruin,spelarens ruin
game theory,spelteori
gamma coefficients,gammakoefficient
gamma distribution,gammafördelning
gamma function,gammafunktion
gamma integral,gammaintegral
gamma-frailty models,gamma-frailty-modell
GARCH model ; generalised autoregressive conditional heteroscedasticity model ; generalized autoregressive conditional heteroscedasticity model,GARCH-modell
general factor,g-faktor
general interdependent system,generellt interdependent system
general renewal process,generell förnyelseprocess
generalised additive model ; generalized additive model ; GAM,generaliserad additiv modell
generalised binomial distribution ; generalized binomial distribution ; Poisson binomial distribution,generaliserad binomialfördelning
generalised bivariate exponential distribution ; generalized bivariate exponential distribution,generaliserad bivariat exponentialfördelning
generalised classical linear estimators ; generalized classical linear estimators ; two-stage least squares,generaliserad klassisk linjär estimator
generalised contagious distribution ; generalized contagious distribution,generaliserad kontagiös fördelning
generalised cross-validation ; generalized cross-validation ;,generaliserad korsvalidering
generalised distance ; generalized distance,generaliserat avstånd
generalised distribution ; generalized distribution,generaliserad fördelning
generalised estimating equations ; generalized estimating equations ; GEE,generaliserad skattningsekvation
generalised extreme-value distribution ; generalized extreme-value distribution ;,generaliserad extremvärdesfördelning
generalised gamma distributions ; generalized gamma distributions ; Creedy and Martin generalised gamma distribution ; Creedy and Martin generalized gamma distribution,generaliserad gammafördelning
generalised inverse ; generalized inverse ; pseudo-inverse ; Moore-Penrose inverse,generaliserad invers
generalised least squares estimator ; generalized least squares estimator,generaliserad minsta-kvadratestimator
generalised linear model ; generalized linear model,generaliserad linjär modell
generalised maximum likelihood estimator ; generalized maximum likelihood estimator,generaliserad maximum likelihoodestimator
generalised mixed model ; generalized mixed model,generaliserad blandad modell
generalised multinomial distribution ; generalized multinomial distribution,generaliserad multinomialfördelning
generalised normal distribution ; generalized normal distribution ; Kapteyn's univariate distribution,generaliserad normalfördelning
generalised stable law ; generalized stable law,generaliserad stabil fördelning
generalised T² distribution ; generalized T² distribution,generaliserad T²-fördelning
generating function,genererande funktion
genetic algorithm,genetisk algoritm
geometric distribution,geometrisk fördelning
geometric mean,geometriskt medelvärde
geometric moving average,geometriskt glidande medelvärde
geometric probability,geometrisk sannolikhet
geostatistics,geostatistik
girdle distribution,ringfördelning
given period,aktuell period
goodness of fit,anpassningsgrad
gradual changes,gradvis förändring
