english,swedish
abnormal curve,abnorm kurva
abrupt change,plötslig förändring
absolute deviation ; average deviation,absolutavvikelse
absolute difference,absolut skillnad
absolute error,absolutfel
absolute frequency,absolut frekvens
absolute measure,absolutmått
absolute moments,absolutmoment
absolute risk,absolut risk
absolutely unbiased estimator,absolut väntevärdesriktig estimator
absorbing barrier,absorberande barriär
absorbing Markov chain,absorberande markovkedja
absorbing region,absorberande regioner
absorbing state,absorberande tillstånd
absorption distributions,absorptionsfördelning
accelerated life testing,accelererad livlängdsprovning
accelerated test,accelererad provning
acceptable quality level ; AQL ; acceptance quality level,acceptabel kvalitetsnivå
acceptance control chart,acceptansstyrdiagram; acceptanskontrolldiagram
acceptance error ; beta error ; β-error ; type II error ; error of second kind,typ II-fel; fel av andra slaget
acceptance inspection,acceptanskontroll
acceptance line ; acceptance boundary,acceptansgräns
acceptance number,acceptanstal
acceptance region,acceptansområde
acceptance sampling,acceptansprovtagning
accumulated deviation,kumulativ avvikelse
accumulated process,kumulativ process
accuracy,noggrannhet
actuarial statistics,aktuariestatistik
adaptive inference,adaptiv inferens
adaptive kernel estimation,adaptiv kärnskattning
adaptive methods,adaptiv metod
adaptive optimisation ; adaptive optimization,adaptiv optimering
adaptive regression,adaptiv regression
additive hazard model,additiv hasardmodell
additive model,additiv modell
additive process ; random walk process,additiv process
adequate subset,adekvat delmängd
adjusted profile likelihood,justerad profil-likelihood
admissible decision function,icke-dominerad beslutsfunktion
admissible estimator,icke-dominerad estimator
admissible hypothesis,tillåten hypotes
admissible strategy,icke-dominerad strategi
admissible test,icke-dominerat test
affinity,affinitet
age-adjusted rate,ålderskorrigerad intensitet
age-dependent birth and death process,åldersberoende födelse-dödsprocess
age-dependent branching process,åldersberoende förgreningsprocess
age-sex-adjusted rate,intensitet justerad för ålder och kön
age-specific death rate ; force of mortality ; instantaneous death rate ; hazard function,åldersspecifikt dödstal
age-specific mortality rate,åldersspecifik dödsintensitet
age-specific rate,åldersspecifik intensitet
aggregation,aggregering
algorithm,algoritm
allele,allel
allocation of a sample,stickprovsallokering
allocation rule,allokeringsregel
allokurtic,oliktoppig
allowable defects,acceptanstal
almost certain,nästan säker
almost certainly,nästan säkert
almost everywhere,nästan överallt
almost stationary,nästan stationär
almost surely,nästan säkert
alpha error ; α-error ; type I error ; error of first kind ; rejection error,typ I-fel; fel av första slaget
alternating process,alternerande process
alternating renewal process,alternerande förnyelseprocess
alternative hypothesis ; non-null hypothesis,mothypotes; alternativhypotes
amount of information,informationsmängd
amount of inspection,kontrollomfattning
amplitude,amplitud
amplitude ratio,amplitudkvot
analysis of covariance ; ANCOVA ; covariance analysis,kovariansanalys; ANCOVA
analysis of dispersion ; multivariate analysis of variance ; MANOVA,multivariat variansanalys; MANOVA
analysis of variance ; ANOVA ; variance analysis,variansanalys; ANOVA
ancillary information ; background information,ancillär information
ancillary statistic,ancillär statistika
angular transformation ; arc sine transformation,vinkeltransformation
angular variables,vinkelvariabel
anisotropic distribution,anisotropisk fördelning
ANOVA table,variansanalystabell
antithetic variables,antitetisk variabel
aperiodic state,aperiodiskt tillstånd
approximation error,approximationsfel
arbitrary origin ; working mean ; working origin ; provisional mean ; assumed mean,provisoriskt medelvärde
arc sine distribution,arcsinus-fördelning
area sampling,yturval; areellt urval
arithmetic mean ; arithmetic average ; mean ; average,aritmetiskt medelvärde
array ; ordered series,uppställning
arrival distribution,ankomstfördelning
assay,assay
assignable variation,hänförbar variation
association,samband
association analysis,sambandsanalys
asymmetrical distribution,asymmetrisk fördelning
asymmetrical factorial design,asymmetriskt faktorförsök
asymmetrical test ; one-sided test ; one-tailed test ; single tail test,asymmetriskt test
asymmetry ; skewness,asymmetri
asymptotic distribution,asymptotisk fördelning
asymptotic efficiency,asymptotisk effektivitet
asymptotic normality,asymptotisk normalitet
asymptotic relative efficiency ; ARE,asymptotisk relativ effektivitet
asymptotic standard error,asymptotiskt medelfel
asymptotic test,asymptotiskt test
asymptotically efficient estimator,asymptotisk effektiv estimator
asymptotically most powerful test,asymptotiskt starkaste test
asymptotically stationary,asymptotiskt stationär
asymptotically unbiased estimator,asymptotiskt väntevärdesriktig estimator
attributable risk ; etiologic fraction,hänförbar risk
attribute,attribut
autocorrelation ; serial correlation,autokorrelation
autocorrelation coefficient,autokorrelationskoefficient
autocorrelation function ; ACF,autokorrelationsfunktion
autocovariance,autokovarians
autocovariance function ; covariance function,autokovariansfunktion
autocovariance generating function,autokovariansgenererande funktion
automatic model selection,automatiskt modellval
autonomous equations,autonom ekvation
autoregression,autoregression
autoregressive conditional heteroscedasticity model ; ARCH model,ARCH-modell
autoregressive integrated moving average process ; ARIMA process,ARIMA-process
autoregressive model,autoregressiv modell
autoregressive moving average process ; ARMA process ; Box-Jenkins model,ARMA-process
autoregressive process,autoregressiv process
autoregressive series,autoregressiv serie
autoregressive transformation,autoregressiv transformation
average amount of inspection,genomsnittlig kontrollomfattning
average deviation ; mean deviation ; mean absolute deviation ; mean absolute error,genomsnittlig absolutavvikelse
average outgoing quality level ; AOQ,genomsnittlig utgående kvalitet; AOQ
average outgoing quality limit ; AOQL,"gräns för genomsnittlig utgående kvalitet, AOQL"
average run length ; ARL ; average sample run length,genomsnittlig svitlängd
average sample number curve,kurva för genomsnittligt provuttag
average sample number function ; ASN function,funktion för genomsnittligt provuttag
axial distribution,axialfördelning
backcalculation ; backprojection,bakåtprojektion
backward equations,bakåtekvationer
backward process,bakåtprocess
balanced factorial experimental design,balanserad faktor-design
balanced incomplete block,balanserat ofullständigt block-
balanced lattice square,balanserad gitterkvadrat
balanced sample,balanserat urval
bandwidth,bandvidd
bar chart,stapeldiagram
base,bas
base line,baslinje
base period ; reference period,basperiod
base weight,basvikt
batch variation,partivariation
bell-shaped curve,klockformad kurva
Bernoulli distribution ; binomial distribution ; point binomial,binomialfördelning
Bernoulli trials,bernoulliförsök
best estimator ; optimum statistic,bästa estimator
best fit,bästa anpassning
best linear unbiased estimator ; BLUE,bästa linjära väntevärdesriktiga estimator; BLUE
beta coefficients,betakoefficient
beta distribution,betafördelning
beta-binomial distribution ; compound binomial distribution,beta-binomialfördelning
between-groups variance,mellangruppsvarians
bias,bias; systematiskt fel
biased coin design,obalanserad försöksplan
biased estimator,estimator med bias; icke-väntevärdesriktig estimator
biased sample,urval med bias
biased test,test med bias
bilinear model,bilinjär modell
bimodal distribution,bimodal fördelning
binary data ; binary variable ; dichotomous variable,binär variabel
binomial waiting time distribution ; negative binomial distribution ; Pascal distribution,negativ binomialfördelning
bioassay ; biological assay,bioassay
bioequivalence test,bioekvivalenstest
bioinformatics,bioinformatik
biometric functions,biometrisk funktion
biostatistics,biostatistik
bipolar factor,bipolär faktor
birth and death process,födelse-dödsprocess
birth process,födelseprocess
birth rate,födelsetal
biserial correlation,biserial korrelation
bivariate distribution,bivariat fördelning
blinding,blindning; maskering
block,block
bootstrap methods,bootstrap-metod
bootstrap test,bootstrap-test
box and whisker plot,lådagram med morrhår
box plot,lådagram
branching process ; Galton-Watson process ; multiplicative process,förgreningsprocess
break point ; change point,brytpunkt
Brownian bridge,brownsk brygga
Brownian motion process,brownsk rörelseprocess
Bruceton method ; staircase method ; up and down method,gafflingsmetod
bulk sampling,bulkprovtagning
busy period,upptagetperiod
calibration,kalibrering
call-back,återkontakt
canonical,kanonisk
canonical correlation,kanonisk korrelation
canonical matrix,kanonisk matris
canonical variable,kanonisk variabel
capture/release sampling ; capture/recapture sampling,fångst-återfångstmetod
cartogram,kartogram
cascade process,kaskadprocess
case-control study ; case-referent study ; retrospective study ; choice-based sampling,fall-kontrollstudie
catastrophe theory,katastrofteori
categorical data,kategoriska data
categorical distribution,kategorisk fördelning
categorical variable,kategorisk variabel
category,kategori
causal chain model,kausalkedjemodell
causality,kausalitet
cause-specific hazard function,orsaksspecifik hasardfunktion
cell frequency ; class frequency,klassfrekvens
censoring,censurering
census,totalräkning; totalundersökning
centile ; percentile,percentil
central confidence interval,symmetriskt konfidensintervall
central factorial moments,centralt faktoriellt moment
central limit theorem,centrala gränsvärdessatsen
central moment,centralmoment
central tendency,centraltendens
centroid method,centroidmetod
chain,kedja
chain graph,kedjegraf
chain index,kedjeindex
chance variation,slumpvariation
change point estimator,brytpunktsestimator
change point models,brytpunktsmodell
change point problem ; disorder problem,brytpunktsproblem
changeover trial,crossover-försök
characteristic,karakteristika
characteristic function,karakteristisk funktion
characteristic functional,karakteristisk funktional
characteristic root ; eigenvalue ; latent root (vector),egenvärde
chi distribution,chi-fördelning
chi-squared distribution,chitvå-fördelning
chi-squared statistic,chitvå-statistika
chi-squared test ; s-test,chitvå-test
chunk sampling,bekvämlighetsurval
circular chart ; circular diagram ; pie diagram ; pie chart ; sector chart,cirkeldiagram
circular distribution,cirkulär fördelning
circular histogram ; polar wedge diagram ; rose diagram,kompassrosdiagram
circular mean deviation,cirkulär medelavvikelse
circular mean difference,cirkulär medelskillnad
circular normal distribution,cirkulär normalfördelning
circular test,cirkeltest
circular uniform distribution,likformig fördelning på cirkel
class,klass
class mark,klassmitt
class symbol,klassymbol
classification ; taxonomy,klassifikation
classification statistic,klassifikationsstatistika
clinical trials ; clinical study,klinisk prövning
closed sequential scheme,sluten sekventiell urvalsplan
closed sequential t-tests ; wedge plans,slutet sekventiellt t-test
closed-ended question,sluten fråga
cluster,kluster
cluster analysis,klusteranalys
cluster randomized trial,kluster-randomiserat försök
